"Date","Item","Quantity / Duration","Calories","Carbohydrates","Protein","Fat","Sodium","Fiber","Meal","Notes"
"08/19/2025","Group: Morning Coffee","1 x group","","","","","Breakfast",""
"08/19/2025","Sugar, White, Granulated","6 x 1 serving 1 cube (2.3g)","53.4","13.8","0","0","0mg","0","Breakfast","Click here to add notes..."
"08/19/2025","Coffee, Brewed from Grounds, Prepared with Tap Water","3 x 6 fl oz (178g)","5.3","0","0.6","0.1","11mg","0","Breakfast",""
"08/19/2025","Bananas <Raw produce>","1 serving (126g)","112.1","28.8","1.4","0.4","1mg","3.3","Breakfast",""
"08/19/2025","Group: Ham Sandwich and Tortilla Chips","1 x group","","","","","Lunch",""
"08/19/2025","Tortilla Chips (bite Size) <Great Value>","17 chips (28.35g)","140","19","2","6","110mg","2","Lunch",""
"08/19/2025","Butter, Salted <Generic>","1 tablespoon (14.18g)","100","0","0.1","11.5","80mg","0","Lunch",""
"08/19/2025","Ham, Sliced, Uncured <Greenfield>","1 slice (28.35g)","30","0.5","5","1","240mg","0","Lunch",""
"08/19/2025","Multigrain Bread <Great Value>","1 slice (45.36g)","120","23","5","2","170mg","3","Lunch",""
"08/19/2025","Group: Raisin Bran and Milk","1 x group","","","","","Dinner",""
"08/19/2025","Milk, Reduced Fat, Fluid, 2% Milkfat, with Added Vitamin a","100ml","50","4.7","3.3","2","41mg","0","Dinner",""
"08/19/2025","Raisins, Seedless","50 raisins (26g)","77.7","20.6","0.8","0.1","3mg","1","Dinner",""
"08/19/2025","Bran Flakes <Great Value>","3/4 cup ","90","23","3","0.5","210mg","5","Dinner",""
"08/19/2025","Bananas <Raw produce>","1 serving (126g)","112.1","28.8","1.4","0.4","1mg","3.3","Dinner",""
"08/19/2025","Peaches <Raw Produce>","1 peach is 7 oz (147g)","57.3","14","1.3","0.4","0mg","2.2","Snacks & Drinks",""
"08/20/2025","Group: Morning Coffee","1 x group","","","","","Breakfast",""
"08/20/2025","Sugar, White, Granulated","6 x 1 serving 1 cube (2.3g)","53.4","13.8","0","0","0mg","0","Breakfast","Click here to add notes..."
"08/20/2025","Coffee, Brewed from Grounds, Prepared with Tap Water","3 x 6 fl oz (178g)","5.3","0","0.6","0.1","11mg","0","Breakfast",""
"08/20/2025","Bananas <Raw produce>","1 serving (126g)","112.1","28.8","1.4","0.4","1mg","3.3","Breakfast",""
"08/20/2025","Medium Egg <Happy Egg>","2 x 1 egg (50g)","140","0","12","10","140mg"," ","Breakfast",""
"08/20/2025","Group: Raisin Bran and Milk","1 x group","","","","","Lunch",""
